planner_name,case_id,case_name,purpose,tier,enable_move_rotate,success,planning_time_sec,num_robots,makespan,sum_of_costs,total_wait,total_move,total_rotate,total_move_rotate,notes
LaCAM,case_01,Case 01: rotation only,回転単体確認,Tier 1: primitive sanity,False,False,2.00001522898674e-06,1,,,,,,,not_implemented | LaCAM backend is not implemented yet. Inject a concrete backend into LaCAMRunner.
LaCAM,case_01,Case 01: rotation only,回転単体確認,Tier 1: primitive sanity,True,False,1.100008375942707e-06,1,,,,,,,not_implemented | LaCAM backend is not implemented yet. Inject a concrete backend into LaCAMRunner.
LaCAM,case_02,Case 02: move+rotate,move+rotate 単体効果,Tier 1: primitive sanity,False,False,6.999471224844456e-07,1,,,,,,,not_implemented | LaCAM backend is not implemented yet. Inject a concrete backend into LaCAMRunner.
LaCAM,case_02,Case 02: move+rotate,move+rotate 単体効果,Tier 1: primitive sanity,True,False,6.00004568696022e-07,1,,,,,,,not_implemented | LaCAM backend is not implemented yet. Inject a concrete backend into LaCAMRunner.
LaCAM,case_03,Case 03: two robot corridor,単純な2台対向協調,Tier 2: simple coordination,False,False,6.00004568696022e-07,2,,,,,,,not_implemented | LaCAM backend is not implemented yet. Inject a concrete backend into LaCAMRunner.
LaCAM,case_03,Case 03: two robot corridor,単純な2台対向協調,Tier 2: simple coordination,True,False,5.00003807246685e-07,2,,,,,,,not_implemented | LaCAM backend is not implemented yet. Inject a concrete backend into LaCAMRunner.
LaCAM,case_04,Case 04: two robot with obstacle wall,障害物あり協調,Tier 3: obstacle helpful,False,False,5.00003807246685e-07,2,,,,,,,not_implemented | LaCAM backend is not implemented yet. Inject a concrete backend into LaCAMRunner.
LaCAM,case_04,Case 04: two robot with obstacle wall,障害物あり協調,Tier 3: obstacle helpful,True,False,4.00003045797348e-07,2,,,,,,,not_implemented | LaCAM backend is not implemented yet. Inject a concrete backend into LaCAMRunner.
LaCAM,case_a,Case A: move+rotate helpful,move+rotate 有効例,Tier 3: obstacle helpful,False,False,1.500011421740055e-06,1,,,,,,,not_implemented | LaCAM backend is not implemented yet. Inject a concrete backend into LaCAMRunner.
LaCAM,case_a,Case A: move+rotate helpful,move+rotate 有効例,Tier 3: obstacle helpful,True,False,1.400010660290718e-06,1,,,,,,,not_implemented | LaCAM backend is not implemented yet. Inject a concrete backend into LaCAMRunner.
LaCAM,case_b,Case B: move+rotate likely unhelpful,move+rotate 不要例,Tier 2: simple coordination,False,False,1.4999532140791416e-06,2,,,,,,,not_implemented | LaCAM backend is not implemented yet. Inject a concrete backend into LaCAMRunner.
LaCAM,case_b,Case B: move+rotate likely unhelpful,move+rotate 不要例,Tier 2: simple coordination,True,False,1.600012183189392e-06,2,,,,,,,not_implemented | LaCAM backend is not implemented yet. Inject a concrete backend into LaCAMRunner.
LaCAM,case_c,Case C: coordination sensitive,干渉が強い協調ケース,Tier 4: hard coordination,False,False,1.400010660290718e-06,2,,,,,,,not_implemented | LaCAM backend is not implemented yet. Inject a concrete backend into LaCAMRunner.
LaCAM,case_c,Case C: coordination sensitive,干渉が強い協調ケース,Tier 4: hard coordination,True,False,1.700012944638729e-06,2,,,,,,,not_implemented | LaCAM backend is not implemented yet. Inject a concrete backend into LaCAMRunner.
